multiple age multiple age M 263
murdered her children and M 192
murdered his children and M 170
murdered his ancestor that M 158
murderer was captured and M 154
multiply its contacts with M 148
murdered his daughter and M 142
murdered with impunity and M 128
murdered her daughter and M 128
multiply our relations with M 128
murdered with impunity for M 126
multiply and simplify each M 108
multiple head injuries and M 106
murdered its officers and M 82
munitions and supplies for D 1598
multiple sex partners and D 1548
mutations are required for D 670
munitions and supplies that D 510
murderer was arrested and D 492
munitions and supplies and D 472
multiple sex partners are D 392
murdered his mistress and D 284
musicians and literary men D 270
musicians and painters and D 258
musicians with trumpets and D 248
musicians who followed him D 226
murdered and tortured and D 212
mutinied and murdered him D 196
mutinous and seditious who D 192
musicians and amateurs who D 190
musicians and painters are D 188
muttered and murmured was D 186
musicians and painters who D 186
munitions and supplies had D 182
musicians and scholars who D 174
mutations are mutations that D 172
multiply both dividend and D 167
mutinied and demanded that D 154
muscular men straddling and D 150
munitions and supplies was D 144
muscular and powerful men D 142
munitions for repressing that D 138
munitions and supplies with D 132
murdered and pillaged and D 130
mutinied and declared for D 128
mutinied and deserted for D 126
munitions and materials for D 126
musicians and scholars and D 122
murdered his sweetheart and D 120
mustered his servants and D 118
munitions and supplies are D 118
musicians who traveled with D 114
musicians who believed that D 112
muttered and chuckled all D 110
multiple sex partners may D 110
muttered and grumbled and D 106
munitions and military and D 106
mutations are specific for D 104
mutations that interact with D 100
mutations and deletions are D 98
mutations are dominant and D 92
musicians who recorded with D 92
muscular and powerful man D 92
multiple sex partners than D 92
mutinies and discords that D 90
mutinied and deserted him D 90
musicians and jugglers and D 88
musicians who recorded for D 86
musketry and canister that D 83
mutations are probably not D 82
multiple sex partners for D 82
musicians and audience are D 80
musicals and comedies are D 80
muscular and provided with D 80
murdered and poisoned his D 40
