tutored him in mathematics M 134
turmoil and the subsequent M 88
turmoil and the government M 86
turbine and the compressor D 973
turbine has an efficiency D 402
turnout for the referendum D 296
turbine can be determined D 266
turbine can be calculated D 208
turbine may be considered D 206
turbine and the alternator D 166
turbine with an efficiency D 150
turbine can be considered D 150
turnout can be attributed D 146
turbine can be controlled D 142
turbine may be determined D 130
turmoil and the unattained D 98
turnout for the democratic D 92
tussles with the authorities D 86
