turning their heads continually M 490
turning away from established M 164
turns away from abstractions M 118
turning away from involvement M 116
turning over these calculations M 94
turning rape into pornography D 643
tubes have been constructed D 536
turning away from conventional D 340
turns upon these distinctions D 234
turning away from agriculture D 172
tubes were used exclusively D 142
turning away from metaphysics D 130
tubes have been recommended D 116
tuned into their conversation D 104
tubes have been extensively D 94
tubes have been centrifuged D 84
