major land resource areas M 1456
major health problems such M 524
major life activity such M 414
makes more explicit what M 402
major life activity must M 368
marry their children into M 360
major health problems among M 338
match those obtained from M 302
makes your programs more M 245
makes sure everyone gets M 237
major health problems were M 222
major part diverted from M 210
makes your situation even M 208
maybe your children will M 204
makes these possible have M 204
makes some children more M 203
makes these problems more M 198
major life decisions such M 190
makes your computer more M 185
major health problems have M 178
makes your computer work M 176
marry their daughter into M 172
makes only slightly more M 169
marry their children very M 164
makes these materials very M 159
major life decisions during M 154
maybe kill somebody else M 151
makes their families like M 148
makes their situation more M 146
major life activity other M 144
makes their presence felt M 142
maxim from whatever book M 140
marks were obtained from M 140
major life activity when M 140
makes their situation even M 136
marks their entrance into M 133
makes your business more M 132
makes these problems even M 132
makes more explicit some M 132
marry like everyone else M 122
makes these questions more M 119
makes their detection very M 116
makes their products more M 115
makes your children feel M 114
makes many mistakes when M 110
major health problems from M 108
major health problems during M 108
match those expected from M 106
marks your entrance into M 106
makes some children feel M 106
makes these materials more M 104
makes your programs much M 102
makes life possible upon M 102
makes their exclusion more M 100
marry their children when M 98
marks have recently been M 96
marks were probably made M 94
makes your audience feel M 94
makes their evolution more M 94
major life activity only M 94
marry your beautiful miss M 92
makes their condition more M 92
makes from pictures done M 92
major term therefore will M 92
makes those divisions into M 90
marks their distance from M 86
makes their analysis more M 86
major step backward from M 84
major rating agencies have M 84
makes these children more M 83
makes male students seem M 82
major life decisions when M 82
marry your daughter when M 80
makes what happened next M 50
makes your business look M 48
males over eighteen years D 814
males were slightly more D 669
males were excluded from D 540
males over fourteen years D 504
major health problems facing D 430
males have acquired their D 426
males were somewhat more D 421
males were affected more D 298
magic wand selection tool D 291
males were obtained from D 262
males were dominant over D 226
marking their distance from D 206
makes these patients more D 192
maxim more sensibly felt D 188
males were selected from D 180
major late promoter during D 178
males have authority over D 160
males were initiated into D 150
mapping data licensed from D 144
marking their entrance into D 132
major wire services have D 122
major ocean currents such D 120
mailing list compiled from D 112
maids giving children their D 112
makes very depressing reading D 109
mayst look straight into D 108
maids pass silently along D 108
mares were imported from D 100
makes some patients feel D 100
major news agencies were D 100
mains were extended into D 100
mails were conveyed from D 100
mailing list obtained from D 99
major farm products were D 98
males were observed during D 96
mails were numbered among D 96
males were isolated from D 94
males have recently been D 94
mails were received from D 90
major axis oriented along D 88
males over eighteen were D 82
makings were attended from D 80
males have acquired well D 43
