gratification from observing the M 182
gravitational pull exerted by D 905
grandparents were natives of D 734
gravitational pull between the D 608
gravitational pull towards the D 458
grandparents were members of D 404
gravitational pull exerted on D 350
grandparents were married in D 322
grandparents were allowed to D 228
grandparents were brought up D 136
grandparents were opposed to D 106
gracefulness means economy of D 102
grandparents were farmers in D 96
grasshoppers snap sharply as D 90
gravitational pull depends on D 82
