great importance , and M 126782
great difficulty , and M 74388
great importance , but M 40838
great importance , for M 34098
great excitement , and M 25006
great quantities , and M 19822
great importance , that M 15964
great difficulty , but M 15042
great importance , not M 12932
great experience , and M 11728
great difficulty , for M 10604
great distinction , and M 10360
great confidence , and M 9218
great importance , both M 8260
great indignation , and M 7484
great prosperity , and M 7204
great simplicity , and M 7166
great advantages , and M 6970
great wickedness , and M 6558
great principles , and M 5940
great sacrifices , and M 5528
great misfortune , and M 5418
great complexity , and M 5270
great confidence , that M 4892
great literature , and M 4816
great difficulty , that M 4708
great importance , was M 4450
great difference , and M 4346
great possessions , and M 3842
great literature , but M 3784
great grandfather , and M 3776
great difference , that M 3594
great excitement , but M 3492
great assistance , and M 3416
great difficulty , they M 3390
great quantities , but M 3384
great bitterness , and M 3382
great difficulty , owing M 3277
great importance , are M 3258
great discomfort , and M 3244
great privileges , and M 3188
great importance , they M 3148
great excitement , for M 2922
great multitudes , and M 2890
great distinction , but M 2884
great advantages , but M 2874
great difference , for M 2816
great excellence , and M 2760
great university , and M 2754
great resistance , and M 2744
great experience , but M 2718
great grandfather , who M 2700
great importance , yet M 2698
great misfortune , for M 2666
great undertakings , and M 2630
great importance , with M 2594
great difficulty , with M 2554
great generosity , and M 2494
great prominence , and M 2472
great misfortune , but M 2438
great importance , too M 2436
great misfortune , that M 2396
grew frightened , and M 2354
great difficulty , she M 2348
great experience , who M 2340
great importance , being M 2334
great difference , but M 2314
great compliment , and M 2238
great efficiency , and M 2218
great impatience , and M 2102
great importance , has M 2062
great confidence , but M 2052
great difficulty , was M 2022
great distinction , who M 2008
great consolation , and M 1936
great prosperity , but M 1836
great usefulness , and M 1832
great characters , and M 1768
great simplicity , but M 1722
great expectation , and M 1708
great assistance , but M 1648
great gentleness , and M 1646
great obligations , and M 1636
great lamentation , and M 1612
great complexity , but M 1586
great sacrifices , but M 1560
great congregation , and M 1540
great indignation , that M 1537
great simplicity , that M 1536
great grandfather , was M 1528
great difficulty , being M 1518
great difficulty , had M 1512
great temptations , and M 1476
great revolutions , and M 1462
