scarce worth your acceptance M 280
school came into prominence M 252
script have been discovered M 250
school have been identified M 236
scheme have been introduced M 236
scarce hope ever completely M 162
school were more remarkable M 150
scheme have been considered M 144
school have been introduced M 136
scheme have been identified M 130
school have been considered M 124
school will have difficulty M 110
school meals were introduced M 96
school have been originated M 86
school were more interested M 82
school have been successful M 82
scores have been calculated D 1058
scores were also correlated D 469
scales have been introduced D 450
scores have been correlated D 410
scores have been determined D 400
scores were also calculated D 382
scores from their respective D 352
scales have been criticized D 336
scales ranging from individual D 310
scenes have been transacted D 300
scales have been identified D 280
scales have been translated D 266
school fees were introduced D 246
scenes have been identified D 246
scores were also positively D 218
scales have been determined D 218
scales have been considered D 182
scales have been normalized D 180
scores into three categories D 162
scales have been prescribed D 161
scores have been normalized D 160
scores have been multiplied D 160
scouts were kept constantly D 152
scales have been calibrated D 152
scenes form very delightful D 150
scaled down their activities D 150
scores have been considered D 134
scales have been formulated D 134
school much more frequently D 133
scales have been calculated D 120
scored three more touchdowns D 116
school must take cognizance D 114
school into four apartments D 114
scores have been translated D 112
scales were also correlated D 108
scenes have been introduced D 106
scenes have been eliminated D 106
scenes have been discovered D 100
scaled down their aspirations D 100
scenes from their respective D 98
scales have been correlated D 98
school life more attractive D 96
scores were good predictors D 94
scales have high reliability D 94
school have been formulated D 92
scores were only moderately D 90
scored their most impressive D 90
school have been summarized D 90
school have been influenced D 90
scores have been identified D 84
scaled back these activities D 84
scores have been criticized D 82
scenes have been reproduced D 82
school work more attractive D 80
scarce ever more confounded D 80
