motivations and attitudes towards M 166
monopolies and exclusive service D 784
monographs and theoretical studies D 353
monographs and technical reports D 244
monographs and textbooks editors D 202
morphology and biological behavior D 168
morphology and taxonomic position D 152
monopolies and exclusive patents D 152
monetarism and industrial unionism D 106
morphology and endocrine function D 104
morphology and functional anatomy D 98
monographs and technical studies D 94
mouthpieces for political parties D 42
