mortality remained very high M 218
mortality declines have been M 166
movements directed away from M 138
mortality occurred among those M 130
mountains received their name M 108
motivation underlying these acts M 108
momentary immunity from these M 100
mortality patterns have been M 82
molecular genetics have been D 398
monograph publishing back into D 368
momentous decisions were made D 354
molecular hydrogen have been D 274
mortgaged premises have been D 272
molecular genetics have made D 224
molecular crystals have been D 220
mortgaged premises were sold D 217
molecular orbitals have been D 206
mortified songsters feel their D 195
molecular dynamics time step D 165
moderator variables have been D 153
mortgaged property free from D 152
molecular dynamics have been D 152
mortified dragoons gave their D 150
motorists coverage must also D 140
molecular analyses have been D 140
mountains stretching from north D 132
mountains stretching away into D 120
molecular mobility will vary D 114
momentous decisions have been D 113
molecular formulas have also D 112
movements damnation will fall D 106
molecular evolution have been D 104
molecular mobility much less D 102
molecules containing only single D 98
molecular diameters away from D 96
monstrous reptiles making their D 80
