wealthiest religious house in M 282
westward movement after the M 258
westward movement began in M 188
westward movement within the M 148
westward movement begun in M 104
westward movement began to M 80
westerly direction until it D 770
weighted averages based on D 627
weighted residual method is D 306
westward expansion after the D 188
westerly direction until the D 168
westerly direction round the D 164
westerly direction under the D 152
westward migration after the D 144
weighted residual method to D 142
westerly direction until he D 120
weighted averages shown in D 102
westward expansion until the D 92
westward expansion began in D 91
westward expansion would be D 84
westerly direction nearly to D 82
