games theory pattern recognition M 412
gather more precise information M 344
gather into happier fellowship M 260
gather some general information M 186
gains from illegal activities M 134
gaining more general acceptance M 114
gains were largely maintained M 96
gains from capital appreciation M 96
gather more reliable information M 84
gains from foreign investment D 723
gains from regional integration D 360
gains some express recognition D 226
gains from regional cooperation D 178
gather from several discourses D 84
gains from capital investment D 84
