gap during which there M 94
gas flow rates were D 1240
gay will laugh when D 1186
gas will issue from D 270
gas flow rates from D 239
gas took place from D 216
gas were taken from D 212
gas from getting into D 206
gas also comes from D 196
gay upon writing those D 176
gas from brown coal D 162
gas most often used D 152
gay from morning till D 142
gas flow rates used D 139
gas tank would have D 134
gas pipe lines have D 131
gas mass ranges from D 130
gas from passing into D 118
gas from flowing back D 116
gas from passing back D 114
gas flow rates have D 112
gas from leased land D 110
gas from burning coal D 110
gas flow rates must D 107
gas pipe lines were D 104
gas only where there D 104
gay task force aids D 100
gas from which these D 100
gas will again come D 98
gas will occur from D 90
gas flow rates during D 90
gas from flowing into D 88
gas flow rates will D 87
gay there where there D 86
gay doings which took D 80
gas from seeping into D 80
gang were working hard D 42
