gatherers who preceded them M 112
gasoline and kerosene are D 1138
garrison was withdrawn and D 564
garrison was supplied with D 504
gasoline and kerosene and D 498
garrison was threatened with D 320
garments and frippery that D 297
garrison was prepared for D 270
galaxies and clusters are D 246
garrison was repulsed with D 242
garrison was numerous and D 240
garrison had mutinied and D 236
gasoline tax revenues for D 232
galloped and galloped and D 228
gasoline and kerosene for D 226
garlands and perfumes and D 226
garments for children and D 206
garrison was attacked and D 204
garments and displays his D 192
garrison and declared for D 188
garrison was relieved and D 182
galaxies and clusters and D 176
garrison and citizens put D 170
gardener had received his D 170
garrison was captured and D 154
garrison was occupied with D 152
gasoline tax revenues are D 144
garments are reserved for D 142
garrison was disarmed and D 134
garments and textiles and D 132
garlands and branches with D 132
garments for everyday wear D 129
garrison and preserve our D 124
garrison was provided with D 120
garments are exchanged for D 118
garments and bedecked with D 116
garrison was overcome and D 104
galaxies are brighter than D 104
garrison and townsmen had D 102
garlands and attended with D 102
garrison was indicted for D 100
garments that agitation had D 98
galaxies that includes our D 98
gasoline tax revenues and D 96
garrison was increased and D 96
garments and textiles are D 96
gasoline and imported oil D 94
garrison had supplies for D 94
garlands and bouquets and D 94
gardener was summoned and D 94
gasoline and supplies for D 92
gasoline tax receipts for D 88
garrison that fortress with D 88
garrison and citizens off D 86
gazettes and journals that D 84
garrison and citizens had D 84
galaxies are galaxies that D 84
gardener had finished his D 82
garrison was stationed and D 80
galaxies and clusters that D 54
