give evidence thereof , M 764
give straight lines , M 389
girl mentioned above , M 322
give judgment thereon , M 304
give definite forms , M 282
give accurate readings , M 192
give evidence which , M 186
give adequate warning , M 180
give distinct notes , M 156
give evidence thereon , M 140
give religious teaching , M 132
giving explicit warning , M 116
give absolute beauty , M 112
give evidence shall , M 108
give abundant proof , M 108
give specific names , M 100
give absolute proof , M 100
give positive tests , M 96
give specific dates , M 94
give definite rules , M 92
girl travelling alone , M 88
give evidence again , M 86
give immediate warning , M 84
