abandons some legal right M 489
abstract data types which M 428
abstract base class named M 194
absorbed into blood stream M 160
absolute evil which could M 144
abstract base class shape M 143
absolute rule under which M 140
absolute truth about anything M 132
absolute rule which under M 118
absorbed from white light M 98
absolute truth about human M 96
abstaining from strong drink D 358
abandoning their homes under D 234
abundant free amino acids D 204
abandoning their mother tongue D 176
abstains from strong drink D 172
absolute free trade would D 114
abortions have taken place D 108
abstract ideas which would D 104
abortions take place every D 104
abortions among women working D 96
abstaining from harming others D 94
abandoning their river craft D 94
absolved from every fault D 90
absolute free trade within D 90
abstaining from foods which D 86
abstains from human flesh D 83
