absorption should take place M 272
abandoned twenty years later M 156
abandoned without good reason M 122
abolished twenty years later M 102
abdominal organs were healthy D 316
abdominal cavity just below D 314
abdominal cavity just under D 144
abdominal cavity from right D 144
abdominal cavity just above D 137
abdominal cavity just beneath D 118
absorption maxima were found D 107
abstracting itself from every D 96
abdominal cavity during fetal D 92
abdominal organs were found D 84
