typical use failure rate M 312
tyranny and slavery have M 260
tyranny had weighed upon M 178
tyranny and anarchy were M 98
typhoid and cholera were D 361
tyranny with lawless hand D 326
tyranny had excited among D 222
typhoid and cholera have D 190
tyranny and bondage will D 124
tyrants and despots have D 102
tyrants who provide hell D 96
tyranny and cruelty were D 94
tyrants then doubled their D 92
tyranny was kindled into D 92
tyranny and cruelty have D 90
typhoon and tempest aces D 88
