willingly have contributed even M 136
withdrew from professional life M 104
withdrew their applications when M 80
willingly give satisfaction unto M 53
withdraw their sovereignty over D 1092
withdraw their investments from D 666
withdrew their ambassadors from D 656
withdraw their countenance from D 558
withdraw their ambassadors from D 558
withdrew their countenance from D 250
withdrew their investments from D 228
withdraw your countenance from D 194
withdrew their subscription from D 176
withhold their commodities from D 112
withhold their countenance from D 100
withdraw said organization from D 96
withhold their concurrence from D 88
withheld their countenance from D 82
