age male female male M 1956
age have already been M 935
age have always been M 853
ago been turned into M 690
age like winter bare M 541
age have passed away M 489
ago have passed into M 324
ago were looked upon M 314
ago when prices were M 307
ago have passed away M 306
age were exempt from M 302
ago been washed away M 296
ago have broken down M 292
age will depend upon M 292
ago have fallen into M 280
age very unlike ours M 260
ago have already been M 254
age from twelve years M 232
age some twenty years M 228
age were seldom able M 218
age when ladies were M 216
ago been pulled down M 209
age from eleven years M 204
age made itself felt M 202
age will become more M 195
age range varied from M 194
age were called upon M 192
age from twenty years M 190
ago been buried from M 186
age have become more M 185
ago have learned from M 166
age just emerging from M 152
age have already come M 150
ago what riches were M 138
age were formed into M 124
ago have become more M 122
age must depend upon M 120
ago have turned into M 116
age will differ from M 114
age when rulers were M 110
ago were little more M 108
age have fallen into M 107
age when little boys M 104
age their mothers wore M 102
age from pretty much M 101
ago been worked upon M 100
age must surely have M 98
ago have passed from M 96
ago were already just M 94
age were forced into M 94
age were devoting their M 94
ago have become part M 92
aging have already been M 92
age when almost nothing M 92
age were looked upon M 92
ago seen better days M 88
ago there passed away M 86
age range should have M 86
age when readers were M 84
age when modern boys M 84
age have always felt M 84
ago been cleared away M 82
age have changed their M 82
ago been picked clean M 80
aging will become more M 40
ago these lovers fled D 880
age took active part D 336
age were flitting from D 314
ago came flooding back D 267
age made egoism more D 192
age range varies from D 176
age when armies were D 162
age were creeping upon D 162
age when nations were D 152
age were barred from D 124
age when luxury wars D 114
age when entering into D 112
ago when molten rock D 103
ago been driven from D 98
age what cordial drop D 94
age threw itself into D 84
ago were blacking their D 82
