age attend some school M 1114
age groups most likely M 587
age groups were tested M 544
age through high school M 501
age should know better M 309
age groups male female M 274
age groups were chosen M 271
ago something very strange M 270
age groups have higher M 225
age groups were formed M 211
age groups from twenty M 202
age groups have become M 147
age groups were higher M 144
age groups were called M 144
age groups were treated M 138
age groups were almost M 122
age should life desire M 118
age groups have changed M 118
age groups over twenty M 116
age passes into another M 112
age limits were changed M 106
age groups were created M 98
age without having learned M 94
age should have access M 94
age groups have already M 94
age should have fallen M 92
age groups will become M 92
age groups were highly M 92
age number living number M 89
age twenty years before M 88
age limits were raised M 84
age suffer from severe M 82
age limits will depend M 80
ago fallen into disuse D 592
age varies from twelve D 94
age groups were pooled D 91
age redden from passion D 84
