genius should point out M 756
gentle nature which has M 324
gentle nature could not M 308
gentle streams beneath our M 250
gentle little woman who M 198
gently walked after him M 182
gentle accent which was M 162
gentle ladies elder than M 138
gently washed twice with M 134
gently pushed aside and M 124
gentle spirit could not M 122
gender issues which are M 122
gender issues rather than M 121
genius before which may M 118
gentle pardon could this M 112
gentle smiles about its M 110
gentle manner about him M 106
gently touching first one M 96
gently pulled apart and M 96
gentle pardon could with M 96
gently passed beneath them M 88
gender system rather than M 86
gentle breeze which had D 402
gentle breeze leaves and D 330
gentle breeze which was D 276
gently swelling hills and D 204
gentle policy which has D 202
gentle slopes which are D 188
gentle breeze laden with D 188
gentle violets weeping with D 168
gentle nature would not D 156
gentle breeze blowing off D 145
gently curved rather than D 132
gentle breeze blowing and D 128
gentle curves rather than D 124
gentle little shake and D 112
gentle wooded hills and D 110
gender strife rather than D 110
gentle temper found that D 100
gender equity rather than D 94
genres through which they D 92
gentle spirit would not D 90
gently swelling hills that D 87
gently curved sides and D 86
genera listed above are D 84
genera already known are D 84
gentry family which had D 64
