gets thoroughly accustomed to M 172
gene expression visualized in D 214
gene expression controlled by D 208
gene expression correlates of D 193
gene expression determined by D 185
gene expression signatures of D 184
gene controlling resistance to D 170
gene conferred resistance to D 152
gene expression alterations in D 148
gene conditioning resistance to D 118
gene expression predictors of D 116
gene expression contribute to D 112
gene conditioning resistance in D 110
gene sequences integrated in D 102
