nurse makes sure that M 538
nurse bending over her M 248
nurse whose name was M 228
nurse bending over him M 224
nurse comes over and M 164
nurse could care for M 154
nurse could tell him M 150
nurse comes back and M 130
nurse could come out M 122
nurse knows what she M 118
nurse could give her M 118
nurse stood over him M 114
nurse stood over her M 108
nurse might work with M 104
nurse could give him M 100
nurse could stop her M 94
nurse asked what was M 92
nurse which ever was M 88
nursing staff caring for D 580
nursing homes were not D 560
nurse would come and D 478
nursing homes will not D 390
nursing homes when they D 374
nursing staff were not D 338
nursing homes have not D 324
nursing staff when they D 234
nurse leaned over and D 224
nursing staff felt that D 207
nurse would have had D 184
nursing homes there are D 177
nursing staff will not D 175
nurse would give her D 174
nurse would know that D 164
nurse would give him D 156
nursing homes have had D 149
nurse leaned over her D 144
nurse would take her D 142
nursing homes more than D 139
nursing homes care for D 129
nurse would tell him D 118
nurse would teach him D 118
nurse leaned over him D 118
nursing homes caring for D 116
nurse would tell her D 116
nurse would stay with D 110
nursing homes were being D 108
nurse would have put D 108
nurse would help him D 102
nurse would come out D 101
nurse would care for D 98
nursing homes have long D 54
nursing homes have one D 49
