number name address city M 1376
number were suffering from M 500
number will increase from M 254
number were brought into M 236
number were removed from M 178
number were gathered into M 172
number were carried away M 165
number three thousand four M 156
number have admired your M 146
number were brought home M 142
number three thousand five M 134
number were brought over M 130
number were brought from M 124
number will increase over M 118
number over several days M 118
number were released from M 114
number will increase even M 108
number five herself said M 104
number five stopped here M 103
number have entered into M 102
number will increase during M 100
number will contain also M 100
number were present from M 94
number line divided into M 92
number four hundred were M 92
number will increase when M 88
number were brought back M 86
number three hundred were M 86
number were brought down M 42
nurses must examine their D 318
number were derived from D 202
nuclei from lighter ones D 190
nuclei into lighter ones D 180
nurses were divided into D 170
nuclear pore complex during D 168
nuclear arms control were D 156
nuclei were derived from D 150
nurses were removed from D 140
nuclear arms control will D 128
nuclei were removed from D 121
number other praetors were D 120
nurses will benefit from D 116
nuclei into smaller ones D 110
nuclear wave function must D 110
nuclear arms control have D 110
number five foresaw from D 104
number rose steadily from D 100
nurses more control over D 96
nuclear arms control from D 92
number their daggers were D 90
number your majesty pays D 88
nurses were brought from D 86
number grew rapidly during D 82
nurses have control over D 80
