nurse whose practice is M 100
nursing staff involved in D 492
nursing staff consists of D 295
nursing staff assigned to D 292
nursing homes continue to D 274
nursing homes compared to D 215
nurse would probably be D 168
nursing homes operated by D 133
nurse would instruct the D 128
nurse would continue to D 116
nurse first assesses the D 110
nursing homes increased by D 108
nursing staff employed in D 60
nursing staff concerning the D 57
nursing homes included in D 41
nursing staff continue to D 40
