birth defect resulting from M 204
birth weight infants have D 601
birth weight infants during D 591
birth weight infants born D 571
birth weight infants were D 423
bill always returning upon D 274
bill lately brought into D 246
birth weight infants among D 227
birth weight infants from D 209
bill through congress making D 170
birth cohort studies have D 141
bids purest rapture rise D 106
birth weight infants will D 105
bill through congress over D 102
bird darted quickly away D 100
bird feeder outside your D 97
bill weekly average rate D 88
bill through congress giving D 86
birth weight infants live D 43
