birthday party attended by M 278
biggest growth industry in D 308
biggest growth industry of D 298
biggest change occurred in D 269
biggest steel producer in D 194
bishops would continue to D 178
bitumen which abounded in D 132
biggest trading partners in D 130
billions spent annually on D 126
biggest social problems of D 124
biggest trading partners of D 118
biggest white elephant in D 114
biggest sugar producer in D 114
biggest world producer of D 110
biggest white elephant of D 102
bipolar cells situated in D 100
biggest social problems in D 96
bishops urged catholics to D 90
bishops could continue to D 86
