amusements are pursued with M 158
amplitudes are smaller than D 388
ambassador was assured that D 255
ambassador had assured him D 214
amendments are carried out D 189
ambassador had brought with D 178
ambulances with wounded men D 171
amendments that provide for D 144
amendments are offered and D 144
amendments and decided that D 136
ambassador had arrived with D 136
ambassador was charged with D 134
amputations are carried out D 123
ambassador was reporting that D 123
ambassador had adorned his D 118
ambivalent and complex than D 106
ambassador had recited his D 106
amplifiers and filters are D 100
amplitudes are smaller and D 84
amplifiers and speakers are D 84
ambivalent and fraught with D 84
ambassador had assured her D 84
amphitheater was crowded with D 80
ambassador had replied that D 44
