amateurs without payment of M 1062
amicable feelings between the D 440
ambitious building program in D 300
ambitious recent attempt to D 206
ambitious building program of D 196
amounted almost exactly to D 150
ambitious sultan mounted on D 140
ambitious temper aspired to D 126
ambitious spirit indulging in D 118
ambitious building project of D 118
ambitious building program at D 116
amicable feelings towards the D 108
ambitious building program to D 108
ambitious reform program in D 104
ambitious younger members of D 94
