amusements ought to be M 174
amendments added to the D 1998
ambassador wrote to the D 1382
amendments known as the D 1166
amendments moved by the D 1074
amendments ought to be D 924
ambassador ought to be D 856
ambivalent image of the D 774
ambassador asked me to D 760
amendments shall be in D 696
amplifiers based on the D 662
amendments added by the D 628
amendments voted by the D 432
ambivalent views of the D 432
amendments based on the D 410
ambivalent place in the D 402
ambassador spoke of the D 370
amendments apply to the D 366
amplitudes given by the D 358
amendments would be to D 350
ambivalent views on the D 318
ambivalent sense of the D 308
ambassador hotel on the D 294
amendments moved in the D 278
amendments added in the D 276
amplitudes equal to the D 274
ambassador spoke to me D 258
ambivalent vision of the D 250
amendments added to it D 246
amendments would be in D 244
amendments appear to be D 244
ambivalent power of the D 238
amendments appear in the D 234
amplitudes close to the D 220
ambivalent stand on the D 218
amendments moved to the D 208
ambassador would be the D 208
ambulatory basis in the D 202
amendments aimed at the D 196
amplitudes appear to be D 185
amendments which it is D 184
amphitheater built in the D 182
amendments moved by my D 182
ambivalent world of the D 180
ambassador hotel in the D 180
ambulatory limbs of the D 178
ameliorated state of the D 175
amphitheater known as the D 170
ambassador spoke to the D 162
ambassador asked me if D 162
amendments filed by the D 150
amplitudes occur in the D 148
amendments refer to the D 140
amendments found in the D 138
amendments would be the D 136
ambassador would be in D 132
amplitudes based on the D 131
amplifiers tuned to the D 130
amendments began to be D 130
amphitheater built by the D 128
amplitudes could be as D 126
ambassador wrote of the D 124
amplitudes shown in the D 123
amplitudes occur at the D 122
amendments pending in the D 118
ambassador staying in the D 118
amplifiers where it is D 116
amendments drawn up by D 116
ambivalent about it as D 115
amplitudes appear in the D 114
ambassador asked to be D 114
ambivalent state of the D 112
amplitudes given in the D 107
amendments voted on in D 106
ambivalent stand in the D 104
ambivalent feeling of the D 104
amendments parts of the D 102
amendments moved by me D 102
ambivalent space of the D 102
amendments either to the D 98
ambassador wrote to me D 98
amplifiers shown in the D 95
amendments which in the D 88
amendments shall be the D 86
amelioration ought to be D 86
ambulatory basis or in D 86
ambulances waiting on the D 84
ambassador would be at D 84
ambassador could do no D 84
ambivalent stand of the D 80
ambivalent place of the D 80
ambassador spoke in the D 80
amplitudes found in the D 56
ambulances waiting at the D 43
ambulances rushing to the D 42
amplitudes seems to be D 41
ambivalent about it in D 40
