amusements with scarcely less M 122
ambassador was recalled from D 1656
ambulatory and hospital care D 820
amendments and additions were D 732
ambassador was withdrawn from D 598
amplifiers are commonly used D 478
amendments and additions made D 382
amplitudes are obtained from D 290
amendments and additions have D 288
ambassador was expelled from D 202
amplifiers are normally used D 194
ambassador who received only D 152
ambassador had returned from D 128
amendments now proposed will D 104
ambassador had received from D 96
amendments and ordinary laws D 90
amusements and rejoices when D 80
amendments and additions from D 80
ambassador has exchanged full D 80
