occurs over many generations M 232
occurs much more abundantly M 202
occurs only during inspiration M 174
occurs only when sufficient M 144
occurs only when government M 120
occurs when your application M 96
occurs only when management M 90
occurs when these substances M 86
occurs much more frequently D 15990
occurs much less frequently D 8494
occurs even more frequently D 992
occurs even less frequently D 442
occupy their time profitably D 110
occurs here more frequently D 94
occurs when these mechanisms D 90
occurs even more notoriously D 88
