ephemeral when compared to M 88
epidemics have occurred in D 4089
epidemics were reported in D 516
epidemics were recorded in D 318
epidemics were frequent in D 228
epidemics have occurred at D 194
epidemics also occurred in D 194
epithelium during exposure to D 162
epidemics were observed in D 160
epithelium were observed in D 159
epidermal cell survival in D 106
epidemics were followed by D 102
epidemics will continue to D 100
epidemics were confined to D 80
epidemics have occurred as D 50
