ailments and injuries that M 171
aircraft are equipped with D 2586
aircraft was equipped with D 1606
aircraft not equipped with D 908
aircraft and missiles and D 664
airplane was equipped with D 538
aircraft and missiles are D 446
aircraft are designed for D 434
airports are equipped with D 322
aircraft was designed for D 302
aircraft for military use D 290
airlines and channels for D 268
aircraft was designed and D 258
aircraft and missiles that D 238
airliner was hijacked and D 226
aircraft are designed and D 218
aircraft was hijacked and D 210
aircraft are designed with D 184
aircraft and vehicles and D 180
aircraft and missiles for D 176
aircraft are provided with D 172
aircraft gas turbines and D 166
airports and airlines are D 160
aircraft and missiles with D 158
airplane was designed for D 148
aircraft for personal use D 148
airlines and airports are D 146
airspeed and altitude are D 137
aircraft for military and D 136
airports and airlines can D 134
airports and military air D 132
airspeed and altitude and D 131
aircraft gas turbines are D 131
airstrip and approach two D 130
airplane was designed and D 128
aircraft was designed with D 126
airplane for personal use D 124
aircraft was airborne and D 124
aircraft was repaired and D 118
aircraft was provided with D 114
aircraft was prepared for D 114
aircraft and missiles can D 114
aircraft was grounded for D 108
airplane for military use D 106
aircraft was intended for D 106
aircraft are equipped for D 106
aircraft and missiles has D 104
aircraft and missiles but D 104
airplane and grateful dead D 103
airplane has unveiled for D 100
aircraft has attacked and D 100
aircraft and supplies for D 100
airfield was littered with D 98
aircraft being prepared for D 98
aircraft and includes all D 92
aircraft are required for D 90
aircraft and missiles had D 90
aircraft are essential for D 88
aircraft was refueled and D 86
aircraft and airports and D 82
aircraft and warships and D 80
ailments both physical and D 80
