using risk factor categories M 634
use some little precautions M 518
using more modern techniques M 448
using these simple techniques M 280
use these special characters M 248
use much larger quantities M 243
use their inside information M 206
using these various techniques M 190
use more subtle techniques M 181
using very simple techniques M 180
using more modern technology M 170
use more modern technology M 166
use some special techniques M 164
using much larger quantities M 150
use these various techniques M 148
using only visual information M 146
using some simple techniques M 136
use more modern techniques M 129
using these various approaches M 126
use some simple techniques M 122
use these simple techniques M 120
use such various expressions M 111
use these simple guidelines M 110
using their inside information M 106
using only minute quantities M 106
using very simple technology M 96
using some special techniques M 96
use your utmost persuasive M 94
use more formal procedures M 94
using good design principles M 92
use more direct strategies M 85
using very little information M 82
use your graphing calculator D 2042
using your graphing calculator D 462
using time series techniques D 210
use their mental capacities D 184
use some prewar authorities D 178
using only partial information D 132
using more recent information D 124
use more modern phraseology D 116
using their existing facilities D 112
use their existing facilities D 112
use their mobile telephones D 102
use other public facilities D 101
use these public facilities D 94
use your pocket calculator D 92
use their nuclear capability D 92
use case diagram represents D 84
use will greatly facilitate D 80
