governors that they should M 460
governors did not always M 246
governors who had served M 198
governors who had become M 148
governors are not likely M 96
goddesses who are called M 96
governors did not choose M 86
goddesses with one another M 86
governess for his little D 226
governess and her charge D 212
governess and her pupils D 186
governess for his younger D 168
governess who had taught D 148
governess was not without D 116
governess who had lately D 110
governess for her little D 99
governess saw new reasons D 96
governess saw new ground D 94
governess who had charge D 84
