take two objects sufficiently M 84
task was finally accomplished D 764
task and general environments D 406
take and receive subscriptions D 376
task was quickly accomplished D 272
take out letters testamentary D 214
take this general acquiescence D 169
task was happily accomplished D 158
task was largely accomplished D 152
taking out letters testamentary D 142
taking and recording temperatures D 114
talk with service professionals D 112
take for granted incalculable D 110
take for granted irresistibly D 108
task with renewed determination D 92
