taking child abuse seriously M 1185
talk about anything personal M 726
take place either directly M 697
take place under ordinary M 658
take place within specific M 557
take place under constant M 459
take place within families M 426
talk about class struggle M 410
take place within fourteen M 384
take place quite suddenly M 384
talk about raising children M 316
take place under specific M 300
take place until sometime M 298
take place under suitable M 288
take place after midnight M 276
talk about mixed messages M 257
take every action possible M 228
talk about teaching practice M 226
taking place within specific M 210
take place about midnight M 208
take place until tomorrow M 206
talk about happy marriages M 202
take place within eighteen M 192
take place rather suddenly M 190
talk about human relations M 182
take action under articles M 172
taking place within families M 170
take place after maturity M 166
taking place under specific M 164
take place after breakfast M 164
taking place which affected M 160
take place until midnight M 152
taking place under ordinary M 144
talk about world problems M 140
take place within definite M 136
taking place under constant M 134
take place within contexts M 134
talk about every possible M 129
talk about power relations M 124
take place within networks M 122
take place which required M 118
talk about anything remotely M 114
take place under definite M 114
talk about human behaviour M 111
taking small steps backward M 110
taking place rather abruptly M 110
take shape until somebody M 110
taking place within industry M 108
talk about killing yourself M 107
take place after treatment M 106
taking place within yourself M 104
take place while students M 104
take place which requires M 104
take place until fourteen M 104
take place after complete M 104
talk about moral questions M 102
take place until eighteen M 100
take place after business M 100
taking place within education M 98
taking place under enormous M 98
take place until children M 94
take place quite normally M 94
take legal action directly M 94
taking place which threatened M 92
talk about money problems M 90
take place until recently M 90
talk about getting involved M 89
take place after students M 89
take place within cultural M 88
take place which otherwise M 88
take place while children M 86
take place after infection M 84
take place under strictly M 82
take final order concerning M 80
talk about adult education M 59
talk about small business M 54
talk about teaching children M 51
talk about anything specific M 45
talk about helping students M 43
talk about local problems M 42
talk about armed struggle M 42
talk about putting yourself M 40
take place within religious M 40
take place under anaerobic D 606
talk about social problems D 584
talk about social security D 541
take place under pressure D 500
task force which included D 474
tall trees whose branches D 320
task which would otherwise D 318
take extra batting practice D 289
take place after delivery D 249
taking extra batting practice D 198
take place under socialism D 184
take place after exposure D 180
take place joint ventures D 174
take place under standard D 170
task which would probably D 156
task which would confront D 156
talk about social relations D 153
talk about world politics D 144
talk about local politics D 141
task which often requires D 136
take place under hypnosis D 122
take place after prolonged D 122
talk about taboo subjects D 121
talk about social equality D 116
task force would probably D 114
taking place under pressure D 114
task grown quite herculean D 110
task which would normally D 108
talk about solving problems D 107
taking place under anaerobic D 100
taking drugs while pregnant D 100
task force which produced D 98
take place under military D 98
talk about trade relations D 97
tall trees which surround D 94
taking place under standard D 94
taxing power would normally D 88
task which might otherwise D 88
tall trees which bordered D 88
take place which indicate D 86
task which still remained D 84
tall grass which bordered D 82
talk about racial equality D 63
talk about bible miracles D 54
talk about racial problems D 44
