up somewhat as follows M 1652
up seriously the question M 704
up entirely of members M 658
up networking to connect M 622
up questions to clarify M 562
up entirely to pleasure M 484
up evidence to support M 476
up barriers to prevent M 452
up entirely of persons M 376
up pretending to believe M 334
up barriers to protect M 326
up evidence in support M 314
up programs to provide M 281
up directly the question M 260
up attempting to explain M 236
up publicly to justify M 228
up articles of religion M 228
up seriously the problem M 226
up networking in windows M 221
up defenses to protect M 219
up programs to improve M 216
up positions in relation M 211
up attempts to control M 205
up attempting to control M 204
up fourteen or fifteen M 198
up entirely to devotion M 190
up petitions to congress M 188
up positions in support M 184
up concerning the unknown M 180
up positions to protect M 178
up entirely of letters M 176
up entirely of outside M 162
up positions to prevent M 159
up respecting the affairs M 156
up entirely to despair M 156
up entirely of numbers M 152
up consisting of members M 152
up entirely the attempt M 148
up entirely of colored M 148
up children to believe M 144
up whenever the subject M 141
up entirely by himself M 139
up entirely of workers M 116
up positions in buildings M 104
up networks of support M 102
up thousands of posters M 100
up probably the largest M 100
up positions of defence M 100
up attempts to account M 99
up entirely to religion M 98
up entirely of certain M 98
up entirely of material M 97
up somebody to present M 96
up memories of ancient M 96
up consists of several M 96
up branches in several M 95
up whenever the question M 94
up thousands of members M 94
up positions to support M 94
up thousands of stories M 92
up positions of minimum M 92
up includes the following M 92
up entirely of females M 92
up programs to develop M 91
up evidence of wrongdoing M 90
up questions to explore M 89
up thousands of workers M 88
up questions of general M 87
up programs to educate M 86
up pictures of himself M 86
up materials to replace M 86
up initially to provide M 86
up controls to prevent M 86
up thousands of schools M 84
up ignorant of religion M 84
up positions of defense M 82
up evidence of illegal M 82
up attempts to collect M 82
up approach to decision M 58
up containing the following M 56
up included the following M 50
up entirely of college M 50
up whatever it touches M 49
up services to provide M 41
up services to clients M 41
up questions in advance M 41
up thousands of dollars D 2604
up hundreds of millions D 1410
up hundreds of dollars D 733
up pursuant to article D 511
up patterns of behavior D 280
up children of science D 272
up manfully in defence D 254
up alongside the railway D 238
up politics in disgust D 230
up hundreds of billions D 230
up messages of courage D 226
up articles of textile D 218
up reserves of foreign D 206
up alongside the wharves D 182
up earthworks to protect D 170
up alongside the coaches D 170
up attacked or decried D 159
up entirely of islands D 150
up entirely of glucose D 140
up alongside the official D 140
up evidence on genetic D 139
up thousands of gallons D 138
up entirely of foreign D 138
up alongside the highway D 135
up alongside my kitchen D 128
up garlands of flowers D 126
up positions of vantage D 122
up barriers to imports D 122
up bouquets of flowers D 120
up reserves to protect D 112
up trophies of victory D 106
up pressure on congress D 104
up handfuls of pebbles D 104
up branches in shanghai D 103
up entirely to romance D 102
up entirely of elected D 102
up approach to budgeting D 102
up hundreds of gallons D 100
up alongside the carriage D 100
up reserves of capital D 98
up casually on obscure D 92
up trillions of dollars D 90
up memorials to congress D 90
up entirely of farmers D 90
up branches in foreign D 90
up violently the venetian D 88
up ardently the crimson D 88
up reserves to support D 86
up entirely of players D 86
up alongside the typhoon D 82
up unawares to destroy D 80
up involves the triceps D 80
up anywhere at anytime D 80
up approach to investing D 47
up approach to regional D 46
