upholds the traditional values M 86
upgrade the educational system D 290
upholding the traditional values D 180
upgrading the educational system D 174
upwelling of subsurface waters D 168
upsurge of democratic strength D 148
upgrade the management skills D 142
upholding of traditional values D 137
upsurge of nationalist feelings D 120
upwelling or divergence regions D 116
upsurge of productive forces D 116
upgrading of educational levels D 99
upgrading the electrical system D 96
upgrade the nutritional status D 96
upholding the legitimate caliph D 94
upholding the capitalist system D 94
upholding the democratic rights D 88
upholding of individual rights D 44
