symmetry only a quarter M 186
synthesis from a variety M 106
synthesis from a mixture M 85
synthesis into a unified M 83
syndrome have a history D 194
syndrome have a similar D 174
symptoms from a variety D 160
symptoms when a patient D 130
symptoms have a certain D 114
symptoms from a previous D 102
symptoms have a gradual D 98
syndrome have a genetic D 92
symptoms from a patient D 91
syndrome have a variety D 86
symptoms have a history D 86
symptoms have a similar D 82
syndrome have a reduced D 42
