trace their historical evolution M 124
trees were remarkably straight M 118
trade union membership increased D 833
trade union membership declined D 578
trade union collective bargaining D 547
trade union information bulletin D 185
trees were completely stripped D 169
trade union activities directed D 152
trade into particular channels D 130
trade into uneconomic channels D 122
trend will inevitably continue D 96
truck very cheerfully assented D 90
trade union membership remained D 90
trade union membership expanded D 83
