travel time difference between M 374
treated their vanquished enemies M 98
tragic hero sacrifices himself M 98
troops were immediately ordered D 586
troops were completely defeated D 542
troops were decisively defeated D 292
tribal work experience program D 254
troops were dispatched against D 148
troops were immediately marched D 138
treated their protestant brethren D 128
traits show continuous variation D 124
tribes were traditional enemies D 118
troops were vaccinated against D 96
treated their protestant vassals D 88
troops were immediately brought D 80
trifle more imperiously perhaps D 80
tribes were completely subdued D 80
