want any outside interference M 394
wars and natural catastrophes M 346
ways that written communication M 264
ways that society acknowledges M 104
ward off outside interference M 104
wage and benefit improvements D 500
wars for national independence D 460
wars and foreign interventions D 216
wage and benefit differentials D 208
ways for improving international D 169
wars and foreign entanglements D 106
warm and meaningful relationships D 106
warm and nurturing relationships D 100
warm and accepting relationships D 88
