wayfaring company were stepping M 84
warriors returning from battle D 600
warriors mounted their horses D 276
warfare against other nations D 276
warrant removal from office D 229
warlike passions will become D 190
warfare against other tribes D 188
warrant invalid when issued D 165
warfare against other states D 142
warriors painted their bodies D 140
warriors mounted their ponies D 122
warriors brought their squaws D 118
warriors pitched their lodges D 114
warfare against their fellow D 102
warriors dropped their weapons D 100
warfare against other groups D 98
warriors possess some resort D 90
warriors wheeled their horses D 88
warriors grabbed their weapons D 84
wartime liberty loan drives D 80
warriors carried into battle D 80
warfare against their common D 80
warrant against such person D 44
