mean differences rather than M 42
men outnumbered women two D 349
men distinguished alike for D 286
mean achievement score for D 274
mean cholesterol level for D 267
mean satisfaction score for D 244
mean performance score for D 238
met practically every day D 227
mean temperature lower than D 212
men outnumbered women six D 164
mean satisfaction score was D 150
men outnumbered women and D 142
men outnumbered women ten D 141
men distinguished either for D 134
mean cholesterol level was D 126
men distinguished above all D 118
mean commendation given him D 102
mean temperature which may D 90
mean temperature would not D 80
