men do lives after M 16288
men of every class M 11975
men as trees walking M 7580
men in whose hands M 6064
men of every shade M 5118
men on equal terms M 3480
men of every party M 3125
mean the place where M 3096
men of later times M 3078
men of strong minds M 2954
men he could trust M 2788
men of mixed blood M 2735
men to every woman M 2685
men in every state M 2660
mean to imply anything M 2613
men or women could M 2442
men of action rather M 1932
men or women whose M 1862
men of noble blood M 1858
men to serve under M 1816
men to marry women M 1808
men or white women M 1724
men he could spare M 1714
men in every sense M 1670
men to carry about M 1664
men in every field M 1603
men of either party M 1508
men in whose minds M 1464
men in every stage M 1458
mean the whole world M 1454
men to stand guard M 1431
men in nearly every M 1344
men of sound sense M 1334
men of every color M 1257
men in whose hearts M 1222
mean in human terms M 1147
men of royal blood M 1108
men in close order M 1102
men of every calling M 1078
mean to sound harsh M 922
men in every place M 884
men to worry about M 876
men in later times M 856
men of every order M 834
mean to write about M 821
men of sound learning M 810
men to fight under M 769
men of noble minds M 762
men or women might M 752
men of sound minds M 748
men in which women M 744
men of about thirty M 742
men of every state M 734
men of plain sense M 732
men of large vision M 726
men of sense could M 718
men in whose lives M 710
men he could raise M 704
men in close touch M 690
mean the power which M 688
men of right feeling M 686
men to write about M 673
men at whose hands M 672
men in power could M 668
men of equal merit M 662
men of nearly every M 660
men in white clothing M 658
men to white women M 650
men he could gather M 644
men of strong moral M 642
men on board could M 638
men of large views M 626
men in small towns M 622
men of strong sense M 618
men in every class M 596
men to stand still M 594
men to black women M 592
men or women under M 586
men in either house M 584
mean of human shape M 584
men of learning could M 566
men of lower class M 558
men at every stage M 556
men of nearly equal M 550
men of sound reason M 542
men or older women M 534
men of action whose M 534
men of small minds M 512
men on white women M 498
men or women working M 496
men in whose power M 490
men of alien blood M 488
men of strong wills M 486
men of equal power M 486
men to whose hands M 476
men of right reason M 476
men to noble deeds M 470
men in after times M 462
men in black alien M 460
men of acute minds M 458
men to write books M 456
men to stand aside M 456
men he could count M 440
men in black masks M 428
men of sound moral M 424
men he wrote about M 420
mean to imply either M 419
men go quite naked M 412
men to abuse women M 404
men to spend lives M 396
men of about forty M 396
men go right after M 396
mean the whole human M 396
men at every point M 394
men or black women M 390
men of blood shall M 386
men of prime working M 384
men no longer lived M 384
men the whole world M 372
men of quick parts M 372
men or women alone M 370
meal of human blood M 370
men in cases where M 368
men of solid learning M 367
men in every period M 364
men in every calling M 359
men to stand watch M 356
mean an event which M 356
men on board again M 354
men of parts might M 354
men to spend money M 352
mean in cases where M 352
men to stand alone M 350
men of color could M 348
men in whose honor M 340
men of first class M 338
men or women which M 334
men in whose midst M 334
mean to sound cruel M 334
mean the white house M 332
men of learning might M 328
men in every phase M 328
mean to start anything M 328
men of large minds M 326
men of sense never M 324
men on board under M 318
men of legal learning M 316
mean the whole people M 313
men or women either M 312
men of after times M 312
men no longer found M 312
men no longer exist M 312
men of strong views M 308
men in whose blood M 308
mean to marry again M 307
men to raise money M 302
men of action could M 302
men no longer dared M 302
men to thinking about M 294
men or women drawn M 292
men of small learning M 292
